aeronave_tipo_veiculo;aeronave_pais_fabricante;aeronave_fabricante;aeronave_modelo;aeronave_ano_fabricacao;aeronave_assentos;aeronave_motor_tipo;aeronave_motor_quantidade;aeronave_fase_operacao;aeronave_nivel_dano;aeronave_fatalidades_total;ocorrencia;aeronave_matricula;aeronave_operador_categoria;aeronave_tipo_icao;aeronave_pmd;aeronave_pmd_categoria;aeronave_pais_registro;aeronave_registro_categoria;aeronave_registro_segmento;aeronave_voo_origem;aeronave_voo_destino;aeronave_tipo_operacao
AVIÃO;BRASIL;NEIVA INDUSTRIA AERONAUTICA;EMB-201A;1983;1;PISTÃO;MONOMOTOR;DECOLAGEM;DESTRUÍDA;0;80549;PTGZJ;***;IPAN;1800;1800;BRASIL;AVIÃO;AGRÍCOLA;MOLITERNO DE DRACENA;***;AGRÍCOLA
AVIÃO;BRASIL;BOEING COMPANY;737-8EH;2011;187;JATO;BIMOTOR;CORRIDA APÓS POUSO;LEVE;0;80550;PRGUH;***;B738;79015;79015;BRASIL;AVIÃO;REGULAR;PRESIDENTE JUSCELINO KUBITSCHEK;GUARARAPES - GILBERTO FREYRE;REGULAR
AVIÃO;BRASIL;CESSNA AIRCRAFT;172F;1965;4;PISTÃO;MONOMOTOR;DECOLAGEM;NENHUM;0;80551;PTCHQ;***;C172;1043;1043;BRASIL;AVIÃO;PARTICULAR;BEBEDOURO;MÁRIO DE ALMEIDA FRANCO;PRIVADA
HELICÓPTERO;BRASIL;ROBINSON HELICOPTER;R22;1990;2;PISTÃO;MONOMOTOR;CRUZEIRO;SUBSTANCIAL;0;80553;PTHVQ;***;R22;590;590;BRASIL;HELICÓPTERO;INSTRUÇÃO;JOÃO MONTEIRO;JOÃO MONTEIRO;INSTRUÇÃO
AVIÃO;BRASIL;MOONEY AIRCRAFT;M20F;1970;4;PISTÃO;MONOMOTOR;DECOLAGEM;SUBSTANCIAL;0;80554;PTDKK;***;M20P;1243;1243;BRASIL;AVIÃO;PARTICULAR;BALSAS;BARREIRAS;PRIVADA
AVIÃO;BRASIL;CESSNA AIRCRAFT;172M;1972;3;PISTÃO;MONOMOTOR;ARREMETIDA NO AR;NENHUM;0;80555;PRMGX;***;C172;1043;1043;BRASIL;AVIÃO;INSTRUÇÃO;HERCÍLIO LUZ;REGIONAL SUL;INSTRUÇÃO
AVIÃO;BRASIL;RAYTHEON AIRCRAFT;B200;2002;11;TURBOÉLICE;BIMOTOR;DECOLAGEM;NENHUM;0;80556;PRMCF;***;BE20;5670;5670;BRASIL;AVIÃO;PARTICULAR;FLORES;ATLAS BRASIL CANTANHEDE;PRIVADA
AVIÃO;CHILE;***;***;0;0;***;SEM TRAÇÃO;DECOLAGEM;NENHUM;0;80557;CCCMS;***;***;0;0;CHILE;AVIÃO;TÁXI AÉREO;GOVERNADOR ANDRÉ FRANCO MONTORO;***;TÁXI AÉREO
AVIÃO;BRASIL;BOEING COMPANY;737-8 MAX;2021;0;JATO;BIMOTOR;APROXIMAÇÃO FINAL;NENHUM;0;80557;PRXMR;***;B38M;82644;82644;BRASIL;AVIÃO;REGULAR;PRESIDENTE JUSCELINO KUBITSCHEK;GOVERNADOR ANDRÉ FRANCO MONTORO;REGULAR
AVIÃO;BRASIL;EMBRAER;EMB-202A;NULL;NULL;PISTÃO;MONOMOTOR;MANOBRA;SUBSTANCIAL;0;80558;PTAYC;***;IPAN;1800;1800;BRASIL;AVIÃO;AGRÍCOLA;FORA DE AERODROMO;FORA DE AERODROMO;AGRÍCOLA
HELICÓPTERO;BRASIL;AHD;EC135 T3;2018;7;TURBOEIXO;BIMOTOR;POUSO;NENHUM;0;80560;PTGAD;***;EC35;2980;2980;BRASIL;HELICÓPTERO;TÁXI AÉREO;DIX-SEPT ROSADO;UBARANA-02;TÁXI AÉREO
AVIÃO;BRASIL;PIPER AIRCRAFT;PA-25-260;1968;1;PISTÃO;MONOMOTOR;CRUZEIRO;SUBSTANCIAL;1;80561;PPIAI;***;PA25;1315;1315;BRASIL;AVIÃO;AGRÍCOLA;***;***;AGRÍCOLA
